USER         PID %CPU %MEM    VSZ   RSS TTY      STAT START   TIME COMMAND
root           1  0.0  0.0 172404  9204 ?        Ss   ago24   0:21 /sbin/init splash
joaofro+    2876  0.0  0.0 163300   992 ?        Sl   ago24   0:00 /usr/libexec/ibus-memconf
joaofro+    2877  0.0  0.0 277092 12536 ?        Sl   ago24   0:00 /usr/libexec/ibus-extension-gtk3
joaofro+    2879  0.0  0.0 199268  5552 ?        Sl   ago24   0:00 /usr/libexec/ibus-x11 --kill-daemon
joaofro+    2882  0.0  0.0 237328  3164 ?        Sl   ago24   0:00 /usr/libexec/ibus-portal
joaofro+    2894  0.0  0.0 162844   828 ?        Sl   ago24   0:06 /usr/libexec/at-spi2-registryd --use-gnome-session
joaofro+    2898  0.0  0.0 236044   184 ?        Ssl  ago24   0:00 /usr/libexec/xdg-permission-store
joaofro+    2900  0.0  0.0 581436  4168 ?        Sl   ago24   0:00 /usr/libexec/gnome-shell-calendar-server
joaofro+    2909  0.0  0.0 1071120 3072 ?        Ssl  ago24   0:00 /usr/libexec/evolution-source-registry
joaofro+    2918  0.0  0.0 1314700 5608 ?        Ssl  ago24   0:00 /usr/libexec/evolution-calendar-factory
joaofro+    2923  0.0  0.0 156496  1424 ?        Sl   ago24   0:00 /usr/libexec/dconf-service
joaofro+    2937  0.0  0.0 682268  3588 ?        Ssl  ago24   0:00 /usr/libexec/evolution-addressbook-factory
joaofro+    2956  0.0  0.0 2930892 12232 ?       Sl   ago24   0:00 /usr/bin/gjs /usr/share/gnome-shell/org.gnome.Shell.Notifications
joaofro+    2968  0.0  0.0 314736  3212 ?        Sl   ago24   0:00 /usr/libexec/gvfsd-trash --spawner :1.4 /org/gtk/gvfs/exec_spaw/0
joaofro+    2981  0.0  0.0 310316   648 ?        Ssl  ago24   0:00 /usr/libexec/gsd-a11y-settings
joaofro+    2983  0.0  0.0 655612  9228 ?        Ssl  ago24   0:03 /usr/libexec/gsd-color
joaofro+    2984  0.0  0.0 374268  2312 ?        Ssl  ago24   0:00 /usr/libexec/gsd-datetime
joaofro+    2986  0.0  0.0 312624  3064 ?        Ssl  ago24   0:28 /usr/libexec/gsd-housekeeping
joaofro+    2988  0.0  0.0 347300  5284 ?        Ssl  ago24   0:01 /usr/libexec/gsd-keyboard
joaofro+    2990  0.0  0.0 1099236 7344 ?        Ssl  ago24   0:05 /usr/libexec/gsd-media-keys
joaofro+    2991  0.0  0.0 762004  9128 ?        Ssl  ago24   0:05 /usr/libexec/gsd-power
joaofro+    2992  0.0  0.0 322312  3232 ?        Ssl  ago24   0:00 /usr/libexec/gsd-print-notifications
joaofro+    2994  0.0  0.0 457456   996 ?        Ssl  ago24   0:00 /usr/libexec/gsd-rfkill
joaofro+    2996  0.0  0.0 235864  2384 ?        Ssl  ago24   0:00 /usr/libexec/gsd-screensaver-proxy
joaofro+    2997  0.0  0.0 465560  3128 ?        Ssl  ago24   0:37 /usr/libexec/gsd-sharing
joaofro+    2998  0.0  0.0 315944  2640 ?        Ssl  ago24   0:00 /usr/libexec/gsd-smartcard
joaofro+    2999  0.0  0.0 320004  1128 ?        Ssl  ago24   0:00 /usr/libexec/gsd-sound
joaofro+    3000  0.0  0.0 459352  1700 ?        Ssl  ago24   0:00 /usr/libexec/gsd-usb-protection
joaofro+    3001  0.0  0.0 346836  4664 ?        Ssl  ago24   0:01 /usr/libexec/gsd-wacom
joaofro+    3002  0.0  0.0 388476   896 ?        Ssl  ago24   0:00 /usr/libexec/gsd-wwan
joaofro+    3003  0.0  0.0 348072  6256 ?        Ssl  ago24   0:01 /usr/libexec/gsd-xsettings
joaofro+    3034  0.0  0.0 231808  3120 ?        Sl   ago24   0:00 /usr/libexec/gsd-disk-utility-notify
joaofro+    3039  0.0  0.0   4028   528 ?        S    ago24   0:00 /opt/forticlient/fortitraylauncher
joaofro+    3047  0.0  0.0 647444  7920 ?        Sl   ago24   0:01 /usr/libexec/evolution-data-server/evolution-alarm-notify
joaofro+    3050  0.0  0.0 587172  3064 ?        Sl   ago24   0:18 /usr/bin/anydesk --tray
joaofro+    3052  0.1  0.5 1177841264 93332 ?    Sl   ago24  14:05 /opt/Mattermost/mattermost-desktop
joaofro+    3054  0.0  0.0   2616   424 ?        S    ago24   0:00 /bin/sh /opt/eset/eea/lib/install_scripts/egui_autorestart.sh --gapplication-service
joaofro+    3059  0.0  0.0 163288  1540 ?        Sl   ago24   0:00 /usr/libexec/ibus-engine-simple
joaofro+    3105  0.0  0.0 342536  2316 ?        Sl   ago24   0:00 /usr/libexec/gsd-printer
colord      3132  0.0  0.0 247000  7752 ?        Ssl  ago24   0:00 /usr/libexec/colord
joaofro+    3153  0.0  2.2 2345988 361180 ?      Sl   ago24   0:42 /snap/snap-store/959/usr/bin/snap-store --gapplication-service
